"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2024","10,655.35","10,375.72","10,680.25","10,374.98","91.58M","3.34%"
"01/01/2024","10,311.15","10,654.16","10,785.70","10,265.83","535.01M","-3.22%"
"12/01/2023","10,654.16","10,593.90","10,903.19","10,590.84","1.07B","0.43%"
"11/01/2023","10,608.29","10,647.33","11,019.72","10,438.08","622.24M","-0.37%"
"10/01/2023","10,647.33","11,335.61","11,335.73","10,503.38","891.06M","-6.07%"
"09/01/2023","11,335.61","11,114.17","11,544.77","11,085.07","970.46M","1.99%"
"08/01/2023","11,114.17","11,386.72","11,750.97","11,091.59","2.11B","-2.39%"
"07/01/2023","11,386.72","9,442.97","11,398.65","9,442.97","5.39B","20.58%"
"06/01/2023","9,442.95","8,555.17","9,480.98","8,555.17","1.23B","10.38%"
"05/01/2023","8,555.17","8,983.21","8,983.48","8,512.59","672.73M","-4.76%"
"04/01/2023","8,983.21","9,301.09","9,460.36","8,948.53","670.88M","-3.42%"
"03/01/2023","9,301.09","9,188.48","9,796.92","9,178.26","1.28B","1.23%"
"02/01/2023","9,188.48","8,865.05","9,356.68","8,578.24","1.26B","3.65%"
"01/01/2023","8,865.05","8,489.66","9,109.97","8,254.25","1.89B","4.26%"
"12/01/2022","8,502.49","8,651.23","9,024.67","8,329.07","1.85B","-1.72%"
"11/01/2022","8,651.23","8,602.16","8,688.19","7,693.90","903.67M","0.57%"
"10/01/2022","8,602.16","9,931.07","9,954.22","8,505.60","1.30B","-13.38%"
"09/01/2022","9,931.07","9,072.96","10,176.54","9,072.96","3.59B","9.48%"
"08/01/2022","9,071.32","7,732.63","9,284.11","7,728.26","1.33B","17.33%"
"07/01/2022","7,731.15","7,344.92","7,829.49","7,055.28","1.11B","5.30%"
"06/01/2022","7,342.33","8,108.76","8,154.24","7,308.91","1.19B","-9.44%"
"05/01/2022","8,108.09","7,628.76","8,749.15","7,422.57","1.95B","6.35%"
"04/01/2022","7,624.26","8,902.96","8,902.96","6,724.39","914.12M","-14.37%"
"03/01/2022","8,903.87","11,579.47","11,628.80","8,832.03","2.41B","-23.10%"
"02/01/2022","11,577.94","13,014.39","13,095.62","10,609.58","3.25B","-11.00%"
"01/01/2022","13,009.50","12,225.17","13,593.04","12,225.17","7.05B","6.41%"
"12/01/2021","12,226.01","11,440.53","12,238.75","10,919.60","9.93B","6.87%"
"11/01/2021","11,440.53","10,162.93","11,476.62","10,084.16","6.39B","12.57%"
"10/01/2021","10,162.93","9,459.94","10,204.09","9,393.03","3.79B","7.43%"
"09/01/2021","9,459.94","8,997.60","9,510.13","8,503.55","6.43B","5.14%"
"08/01/2021","8,997.60","8,135.26","9,126.02","7,928.38","6.19B","10.80%"
"07/01/2021","8,120.48","7,841.67","8,218.67","7,630.37","3.15B","3.61%"
"06/01/2021","7,837.76","7,431.81","7,956.01","7,403.44","1.81B","5.87%"
"05/01/2021","7,403.44","7,202.81","7,414.34","7,111.13","2.29B","2.71%"
"04/01/2021","7,208.20","7,124.79","7,666.01","7,055.41","2.13B","1.22%"
"03/01/2021","7,121.28","7,509.73","7,549.46","6,852.64","2.09B","-4.75%"
"02/01/2021","7,476.34","8,714.99","8,758.98","7,201.55","5.35B","-13.75%"
"01/01/2021","8,668.07","6,797.61","9,025.82","6,774.22","10.22B","27.96%"
"12/01/2020","6,774.22","6,256.58","6,778.87","6,243.76","5.64B","8.50%"
"11/01/2020","6,243.76","5,707.59","6,249.46","5,707.59","2.33B","9.03%"
"10/01/2020","5,726.59","5,997.96","6,075.27","5,390.81","3.88B","-4.32%"
"09/01/2020","5,984.84","5,337.60","6,040.44","5,301.42","3.44B","12.30%"
"08/01/2020","5,329.33","5,137.93","5,403.73","5,124.26","1.60B","4.00%"
"07/01/2020","5,124.26","5,149.64","5,159.81","4,800.50","1.13B","-0.49%"
"06/01/2020","5,149.57","4,847.44","5,178.56","4,773.13","1.09B","6.25%"
"05/01/2020","4,846.76","4,393.56","4,902.43","4,219.03","878.19M","6.02%"
"04/01/2020","4,571.63","4,571.63","4,571.63","4,571.63","","0.00%"
"03/01/2020","4,571.63","5,591.45","5,649.71","4,558.32","312.79M","-18.26%"
"02/01/2020","5,592.92","5,934.18","5,954.93","5,587.52","287.74M","-5.68%"
"01/01/2020","5,929.76","6,134.44","6,138.36","5,880.11","746.17M","-3.25%"
"12/01/2019","6,129.21","6,218.29","6,239.17","6,030.82","575.01M","-1.33%"
"11/01/2019","6,211.97","5,995.36","6,239.32","5,928.18","1.03B","3.70%"
"10/01/2019","5,990.24","5,738.17","6,000.22","5,667.43","957.50M","4.39%"
"09/01/2019","5,738.24","5,893.34","5,901.37","5,726.20","1.00B","-2.57%"
"08/01/2019","5,889.86","5,946.06","6,017.98","5,815.29","697.29M","-0.77%"
"07/01/2019","5,935.34","5,372.00","6,047.50","5,365.72","3.35B","10.48%"
"06/01/2019","5,372.28","5,315.13","5,401.03","5,273.87","648.75M","1.15%"
"05/01/2019","5,310.95","5,478.03","5,484.19","5,192.63","420.18M","-3.06%"
"04/01/2019","5,478.41","5,555.25","5,656.94","5,392.25","230.33M","-1.42%"
"03/01/2019","5,557.24","5,813.19","5,816.29","5,500.11","267.91M","-4.45%"
"02/01/2019","5,816.29","5,990.53","5,997.96","5,795.23","350.41M","-2.90%"
"01/01/2019","5,989.90","6,051.30","6,072.80","5,944.17","328.38M","-1.03%"
"12/01/2018","6,052.37","6,018.42","6,082.94","5,997.23","362.52M","1.00%"
"11/01/2018","5,992.70","5,952.44","6,168.02","5,921.55","714.73M","0.66%"
"10/01/2018","5,953.47","5,860.17","6,000.81","5,758.01","433.71M","1.56%"
"09/01/2018","5,862.18","6,083.96","6,137.04","5,832.33","336.52M","-3.59%"
"08/01/2018","6,080.26","6,147.03","6,168.02","6,010.23","349.87M","-1.09%"
"07/01/2018","6,147.27","6,194.96","6,199.89","6,041.92","430.20M","-0.76%"
"06/01/2018","6,194.63","6,401.05","6,418.45","6,173.36","338.39M","-3.19%"
"05/01/2018","6,398.44","6,533.33","6,542.56","6,387.93","605.19M","-2.03%"
"04/01/2018","6,531.06","6,475.51","6,564.59","6,426.16","407.36M","0.84%"
"03/01/2018","6,476.78","6,547.74","6,567.75","6,416.62","873.17M","-1.14%"
